episode,train_cscqi,train_isr,critic_loss,actor_loss
50,-0.6618,0.600,2.6783,-1.0103
100,1.1226,1.000,0.5255,-0.9666
150,0.5761,0.800,0.7147,-0.7335
200,0.5366,0.800,0.4866,-0.9383
250,-0.2247,0.800,0.8039,-0.1171
300,0.7847,0.800,0.4157,-1.3124
350,-1.3306,0.600,0.6809,-1.0163
400,1.0865,1.000,0.4758,-1.2139
450,1.0813,1.000,0.6436,-1.3070
500,1.0693,1.000,0.3908,-0.8063
550,-0.5714,0.600,0.3683,-0.5837
600,-0.1296,0.600,0.3290,-0.5797
650,1.1613,1.000,0.3438,-1.1689
700,-0.6062,0.600,0.4588,-0.8911
750,-0.9091,0.400,0.5062,-0.7705
800,0.3044,0.800,0.5112,-0.9725
850,0.6957,0.800,0.3851,-0.3905
900,-1.3793,0.400,0.4768,-0.2263
950,0.1702,0.600,0.3835,-0.8672
1000,0.2669,0.800,0.8953,-0.9840
